Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
362.0,Scoot Henderson,21.0,POR,PG,23.0,3.0,542.0,12.5,0.546,0.482,0.316,2.5,10.3,6.4,24.8,1.6,1.1,17.2,26.0,0.1,0.5,0.5,0.047,-2.1,-0.9,-3.0,-0.1,
363.0,Cole Anthony,25.0,MIL,PG,35.0,0.0,527.0,10.8,0.483,0.312,0.113,3.5,15.1,9.3,34.7,1.9,2.1,21.1,25.8,-0.9,0.4,-0.5,-0.043,-3.9,-0.9,-4.8,-0.4,
364.0,Jonathan Isaac,28.0,ORL,PF,52.0,0.0,521.0,11.7,0.498,0.349,0.532,9.1,19.3,14.1,5.6,1.9,5.4,11.8,12.4,0.1,0.8,0.9,0.084,-2.8,1.3,-1.6,0.1,
365.0,Sharife Cooper,24.0,WAS,PG,32.0,1.0,519.0,12.2,0.581,0.311,0.228,2.8,11.9,7.3,23.6,1.0,0.7,18.2,19.5,0.2,0.0,0.2,0.022,-2.2,-2.7,-4.8,-0.4,
366.0,Dalton Knecht,24.0,LAL,SF,48.0,1.0,509.0,9.4,0.55,0.58,0.115,3.1,12.3,7.8,4.4,1.0,1.8,9.9,17.4,-0.1,0.3,0.3,0.026,-2.6,-1.7,-4.3,-0.3,
367.0,D'Angelo Russell,29.0,DAL,PG,26.0,3.0,495.0,12.4,0.511,0.483,0.259,1.8,11.2,6.6,31.1,1.1,0.3,15.9,26.1,-0.3,0.3,0.0,-0.001,-0.7,-1.6,-2.3,0.0,
368.0,Jamison Battle,24.0,TOR,SF,55.0,2.0,494.0,10.3,0.633,0.61,0.088,4.3,15.7,9.9,6.0,0.7,0.6,11.9,13.9,0.4,0.5,0.8,0.08,-1.8,-1.1,-2.9,-0.1,
369.0,Devin Carter,23.0,SAC,PG,31.0,5.0,490.0,12.8,0.497,0.386,0.3,5.1,14.1,9.4,20.0,2.5,0.9,14.6,23.8,-0.3,0.3,-0.1,-0.008,-2.6,-1.2,-3.8,-0.2,
370.0,Keaton Wallace,26.0,ATL,PG,49.0,2.0,489.0,11.0,0.547,0.601,0.092,0.7,10.8,5.7,22.5,2.0,0.9,13.6,15.7,0.3,0.5,0.8,0.077,-2.3,0.3,-2.0,0.0,
371.0,Jahmai Mashack,23.0,MEM,SG,25.0,3.0,479.0,7.7,0.466,0.37,0.13,4.2,8.0,6.1,9.5,3.0,2.3,14.6,14.8,-0.5,0.4,0.0,-0.004,-5.6,-0.2,-5.8,-0.5,
372.0,Leonard Miller,22.0,2TM,SF,38.0,7.0,473.0,14.9,0.612,0.376,0.206,7.4,19.6,13.6,7.4,1.2,1.5,11.0,18.5,0.5,0.4,0.9,0.094,-1.1,-0.7,-1.8,0.0,
372.0,Leonard Miller,22.0,MIN,SF,19.0,0.0,95.0,12.2,0.581,0.364,0.333,8.3,20.3,14.4,7.6,2.0,0.0,19.2,20.8,0.0,0.1,0.1,0.05,-5.3,-0.6,-5.9,-0.1,
